EventName,CharacterName,Text,Address
첫 만남,제드,안녕하십니까 저는 제드입니다.,Images/TempZed
-,쉔,알고 있다. 난 쉔이다.,Images/TempShen
-,제드,ㅗㅗ 쉔 개못생김 고릴라녀석,Images/TempZed
-,쉔,이녀석이….! 응징하겠다!,Images/TempShen
-,제드,ㅗㅗ ㅋㅋ 도망가야지~,Images/TempZed
End,,,
누구노,제드,넌 누구냐? 여자.,Images/TempZed
-,아칼리,내 이름은 아칼리. 닌자입니다.,Images/TempShen
-,제드,눼 이륨운 애컐뤼~ 뉜좌입뉘돠~,Images/TempZed
-,아칼리,ㅂㄷㅂㄷ...,Images/TempShen
-,제드,ㅋㅋ 긁?,Images/TempZed
End,,,
쉔이노,쉔,균형만이 살 길…,Images/TempShen
-,쉔,균형 없는 삶은 가치 없는 삶..,Images/TempShen
-,쉔,균형. 나.,Images/TempShen
-,제드,(쟤 뭐냐..),Images/TempZed
-,제드,야 너 뭐하냐 혼자서\n왜 청승맞게 그러고 있어?,Images/TempZed
-,쉔,균….형..........,Images/TempShen
-,제드,(저 자식은 균형 변태군),Images/TempZed
End,,,
난 케인이당,케인,안녕?\n난 나르시스트 케인이라고 해.\n넌 누구니?,Images/TempKayn
-,제드,(슈슉 슈슈슈슉),Images/TempZed
-,케인,으억!!!!!!!!!!,Images/TempKayn
-,제드,휴.. 오늘도 한 건 했구만,Images/TempZed
